Method,Distribution,Cov,Avg Width,Avg Miscov,Avg Regret,D
SplitConformal,sudden,0.843,129.5,0.122,0.0077,100
NExConformal,sudden,0.894,123.7,0.051,0.0031,100
FACI,sudden,0.891,123.4,0.046,0.0030,100
ScaleFreeOGD,sudden,0.900,168.0,0.004,0.1463,100
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,100
FACI_S,sudden,0.896,124.9,0.044,0.0030,100
SAOCP,sudden,0.953,183.4,0.054,0.1561,100
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,100
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,100
SplitConformal,gradual,0.826,153.1,0.102,0.0045,100
NExConformal,gradual,0.895,159.7,0.041,0.0012,100
FACI,gradual,0.896,160.3,0.042,0.0012,100
ScaleFreeOGD,gradual,0.900,175.3,0.004,0.1540,100
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,100
FACI_S,gradual,0.898,160.6,0.038,0.0013,100
SAOCP,gradual,0.938,184.3,0.039,0.1624,100
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,100
MagLearnUndiscounted,gradual,0.897,160.8,0.034,0.0022,100
